branch,product,max_gap_days
0007-ANJANEYA NAGER,CORN FLAKES 200G EVR,34.0
0007-ANJANEYA NAGER,COW GHEE 500ml PET JAR MILKYMIST,165.0
0007-ANJANEYA NAGER,COW MILK 500ml GOLDEN HERITAGE,inf
0007-ANJANEYA NAGER,CRUNCHY BANANA CHIPS 100g FLYBERRY,90.0
0007-ANJANEYA NAGER,CRUNCHY BANANA CHIPS 250g FLYBERRY,55.0
0007-ANJANEYA NAGER,CUCUMBER WHITE,inf
0007-ANJANEYA NAGER,CUMIN JEERA KG FLYBERRY,77.0
0007-ANJANEYA NAGER,DABBAKAI,55.0
0007-ANJANEYA NAGER,DARK CHOCOLATE 150g BEST WISHES AMUL,79.0
0007-ANJANEYA NAGER,DATES POWDER 180g FLYBERRY,136.0
0007-ANJANEYA NAGER,DEHYDRATED GINGER  KGS FLYBERRY,inf
0007-ANJANEYA NAGER,DEHYDRATED KIWI KG FLYBERRY,42.0
0007-ANJANEYA NAGER,DEHYDRATED MANGO KG FLYBERRY,62.0
0007-ANJANEYA NAGER,DEHYDRATED PINEAPPLE KG FLYBERRY,41.0
0007-ANJANEYA NAGER,DERI DATES KG FLYBERRY,47.0
0007-ANJANEYA NAGER,DESI COW GHEE 500ml JIVIKA ORGANICS,33.0
0007-ANJANEYA NAGER,DOUBLE BEANS,inf
0007-ANJANEYA NAGER,DRAGAN FRUIT JUICE,92.0
0007-ANJANEYA NAGER,DRIED DATES YELLOW250 GM,inf
0007-ANJANEYA NAGER,DRY COCONUT KG FLYBERRY,41.0
0007-ANJANEYA NAGER,EGGS 6PC UPF HEALTHY WHITE U N V,36.0
0007-ANJANEYA NAGER,ELEPHANT FOREST HONEY 250G 1+1,111.0
0007-ANJANEYA NAGER,ELEPHANT FOREST HONEY 500G 1+1,inf
0007-ANJANEYA NAGER,ELEPHANT SEEDLESS HONEY DATES400G+10,35.0
0007-ANJANEYA NAGER,FILTER COFFE STRONG 5 10ml ID FRESH,inf
0007-ANJANEYA NAGER,FILTER COFFEE 150ML ID FRESH,35.0
0007-ANJANEYA NAGER,FLAX SEED OIL 1L MESMARA,94.0
0007-ANJANEYA NAGER,FLYBERRY CASHEW 4 PIECE,120.0
0007-ANJANEYA NAGER,FLYBERRY KNOCKOUT KALMI DATES 200g,52.0
0007-ANJANEYA NAGER,FLYBERRY KNOCKOUT KALMI DATES 400g,35.0
0007-ANJANEYA NAGER,FLYBERRY SHAHJEERA CARAWAY SEEDS,inf
0007-ANJANEYA NAGER,FOXTAIL MILLET KORRALU BIYYAM 500g,86.0
0007-ANJANEYA NAGER,FREEDOM MUSTARD OIL 1 Lt,inf
0007-ANJANEYA NAGER,FRESH CREAM 200ML HERITAGE,inf
